Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-05-08,2026-02-27,2025-11-07,2025-08-08,2025-05-02,2025-02-28,2024-11-01,2024-08-02,2024-05-03,2024-01-25,2023-11-03,2023-08-04,2023-05-05,2023-02-24,2022-11-04,2022-08-05,2022-05-05
Revenue & Margin,Segment-1,-,Private Equity Segment,-,-,-,Private Equity Segment,-,-,-,Private Equity Segment,-,-,-,Investment Performance,-,-,-
Revenue & Margin,Segment-1 %,-,77.3%,-,-,-,87.3%,-,-,-,70.7%,-,-,-,100.0%,-,-,-
Revenue & Margin,Segment-2,-,Real Estate Segment,-,-,-,Real Estate Segment,-,-,-,Real Estate Segment,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,22.7%,-,-,-,12.7%,-,-,-,16.4%,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,Hedge Fund Solutions Segment,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,12.9%,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
