Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-07-31,2022-04-30
Header,Filing Date,2026-04-21,2026-02-24,2025-10-21,2025-07-22,2025-04-22,2025-02-20,2024-10-22,2024-07-23,2024-04-23,2024-02-21,2023-10-24,2023-07-25,2023-04-25,2023-02-22,2022-10-20,2022-07-21,2022-04-21
Revenue & Margin,Segment-1,-,"Revenue from Contract with Customer, Measurement, Recurring",-,-,-,"Revenue from Contract with Customer, Measurement, Recurring",-,-,-,"Revenue from Contract with Customer, Measurement, Recurring",-,-,-,"Revenue from Contract with Customer, Measurement, Recurring",-,-,-
Revenue & Margin,Segment-1 %,-,81.9%,-,-,-,81.1%,-,-,-,78.2%,-,-,-,75.4%,-,-,-
Revenue & Margin,Segment-2,-,"Revenue from Contract with Customer, Measurement, Nonrecurring",-,-,-,"Revenue from Contract with Customer, Measurement, Nonrecurring",-,-,-,"Revenue from Contract with Customer, Measurement, Nonrecurring",-,-,-,"Revenue from Contract with Customer, Measurement, Nonrecurring",-,-,-
Revenue & Margin,Segment-2 %,-,18.1%,-,-,-,18.9%,-,-,-,21.8%,-,-,-,24.6%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
